Investors_Name,investment_name_count
"Undisclosed Investors",80
"Ratan Tata",25
"Undisclosed Investor",24
"Indian Angel Network",24
N/A,21
"Group of Angel investors",20
"Kalaari Capital",16
"Sequoia Capital",15
"SAIF Partners",12
"Accel Partners",12
Undisclosed,11
"Venture Catalysts",11
"Brand Capital",11
"RoundGlass Partners",10
"Blume Ventures",9
"Nexus Venture Partners",9
"Info Edge (India) Ltd",9
"Tiger Global",8
"Trifecta Capital",8
"Unitus Seed Fund",8
"Tiger Global Management",7
"Matrix Partners",7
"InnoVen Capital",7
"YouWeCan Ventures",7
"Y Combinator",6
"The Chennai Angels",6
"Bessemer Venture Partners",6
"Kae Capital",6
"Exfinity Venture Partners",5
"Sixth Sense Ventures",5
Flipkart,5
LetsVenture,5
"Omidyar Network",5
"IDG Ventures",5
Paytm,5
"Axilor Ventures",5
"SRI Capital",5
"India Educational Investment Fund",5
"India Quotient",5
"Undisclosed HNIs",5
"ah! Ventures",5
"Hyderabad Angels (at Startup Heroes event)",5
"Vijay Shekhar Sharma",4
"Sequoia India",4
"Mumbai Angels",4
"Individual Investors",4
MakeMyTrip,4
"IFMR Capital",4
"YourNest Angel Fund",4
"Eight Roads Ventures",4
Rainmatter,4
"IdeaSpring Capital",4
"Jungle Ventures",4
Quarizon,4
"IvyCap Ventures",4
"Idein Ventures",4
"Infuse Ventures",4
"Multiple investors through Ten Minute Million competition",4
"Green House Ventures (GHV)",4
"Sequoia Capital India",3
,3
"SoftBank Vision Fund",3
"RB Investments",3
"Endiya Partners",3
Naspers,3
"Anicut Capital",3
"Alteria Capital",3
"Fireside Ventures",3
InfoEdge,3
"NB Ventures",3
"Village Capital",3
"Hyderabad Angels",3
"CIO Angel Network",3
"IDG Ventures India",3
"Carpediem Capital",3
"KStart Capital",3
"Warburg Pincus",3
Beenext,3
"Norwest Venture Partners",3
"50K Ventures",3
"Deepak Nathani",3
"Anand Chandrasekaran",3
"SoftBank Group",3
"Matrix Partners India",3
"Facebook FBStart",3
"The Ten Minute Million",3
"Edelweiss Private Equity",3
"Rajan Anandan",3
"Gray Matters Capital",3
"Swastika Company Ltd",3
"Centre for Innovation Incubation and Entrepreneurship (CIIE)",3
"500 Startups",3
"TVS Automobile Solutions Ltd",3
vCommission,3
"Kalaari Capital Accelerator Program",3
"Lead Angels",3
"Chennai Angels",3
"Lightbox Ventures",3
"Unilazer Ventures",3
"GHV Accelerator",3
"Micromax Informatics",3
"Acumen Fund",3
AngelPrime,3
"Dream Incubator",2
Lightbox,2
"March Capital Partners",2
"Westbridge Capital",2
"WaterBridge Ventures",2
Ventureast,2
"Bertelsmann India Investments",2
"Fosun International",2
"Vertex Ventures",2
"Mumbai Angels Network",2
"Alpha Capital",2
