Startup_Name,number_of_rounds,total_funding
"ONN Bikes",2,6
WheelStreet,2,6
Wishberry,2,6
"Burger Singh",2,5
Cars24,2,5
"Karma Healthcare",2,5
"The Print",2,5
Qubole,2,5
Power2SME,3,5
Nightstay,2,5
Wigzo,2,5
"Diro Labs",2,5
WorkIndia,3,5
Prozo,2,5
Druva,2,5
StitchWood,2,5
Paytunes,2,5
N.O.W,2,5
AppVirality,2,5
ePoise,2,5
CarDekho.com,2,5
MyDreamStore,2,5
Zendrive,2,4
Netmeds,2,4
Digit,2,4
Nivesh,2,4
Myly,2,4
Fitso,2,4
Nurturey,2,4
TaxSutra,2,4
"World Art Community",2,4
"Zo Rooms",2,4
HealthyWorld.in,2,4
"True Balance",3,3
1mg,4,3
MindTickle,2,3
Gapoon,2,3
Sattviko,3,3
Ezetap,2,3
Stockal,2,3
"Medwell Ventures",2,3
"Amagi Media Labs",2,3
TripShelf,2,3
PickMyLaundry,2,3
AppLop,2,3
StayZilla,2,3
CareonGO,2,3
CleverTap,2,2
Fincash,2,2
Trilyo,2,2
Curofy,2,2
RentOnGo,2,2
Flytxt,2,2
6Degree,2,2
LetReach,2,2
RainCan,2,2
Smytten,2,2
Qlivery,2,2
Stylofie,2,2
Hopscotch,2,2
FreshMenu,2,2
FirstCry,2,2
GoJavas,2,2
Roadrunnr,2,2
CredR,3,2
MyPoolin,2,2
Orobind,2,2
InstaLively,2,2
Jhakaas,2,1
Ftcash,2,1
Unbxd,2,1
Qriyo,2,1
Zapr,3,1
Ixigo,2,1
Aisle,2,1
NowFloats,2,1
Indifi,2,1
Fitmein,2,1
TapChief,2,1
Innovaccer,2,1
StoreKing,2,1
"MadRat Games",2,1
"Syona Cosmetics",2,1
"Arcatron Mobility",2,1
Gympik,2,1
LafaLafa,2,1
LogiNext,2,1
"The Man Company",2,0
"Events High",2,0
Loanzen,2,0
Visit,2,0
RailYatri,4,0
UrbanPiper,2,0
Wydr,3,0
"Awaaz De",2,0
WOTU,2,0
FreshBoxx,2,0
"Leverage Edu",2,0
"Crayon Data",2,0
"Hungry Foal",2,0
WittyFeed,2,0
Elanic,2,0
91SpringBoard,2,0
Tinmen,3,0
Inclov,2,0
Fashalot,2,0
CoutLoot,2,0
"Sports Flashes",2,0
MonkeyBox,2,0
GyanDhan,2,0
Lucideus,2,0
TestBook,2,0
"Tyre Express",2,0
iOrderFresh,2,0
Rooter,2,0
Connaizen,2,0
TownScript,2,0
MobiDent,2,0
BookEventz,3,0
Servify,2,0
Scandid,2,0
Shoekonnect,2,0
BabyChakra,2,0
Pickrr,2,0
Pikkol,2,0
Renowala,2,0
JoeHukum,2,0
Parentlane,2,0
Fastudent,2,0
Buttercups,2,0
CrownIt,2,0
Quickli,2,0
"Urban Tailor",2,0
CityFurnish,2,0
iDreamCareer,2,0
Faircent,3,0
Murgency,2,0
"Process 9",2,0
Yufta,2,0
Smartcooky,2,0
Kaaryah,2,0
"Intelligent Interfaces",2,0
JetSetGo,2,0
Findyahan,3,0
StayGlad,2,0
Mubble,2,0
Envoged,2,0
