Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1,BYJUâ€™S,E-Tech,E-learning,Bengaluru,"Tiger Global Management","Private Equity Round","20,00,00,000",2020-01-09,
2,Shuttl,Transportation,"App based shuttle service",Gurgaon,"Susquehanna Growth Equity","Series C","80,48,394",2020-01-13,
3,Mamaearth,E-commerce,"Retailer of baby and toddler products",Bengaluru,"Sequoia Capital India","Series B","1,83,58,860",2020-01-09,
4,https://www.wealthbucket.in/,FinTech,"Online Investment","New Delhi","Vinod Khatumal","Pre-series A","30,00,000",2020-01-02,
5,Fashor,"Fashion and Apparel","Embroiled Clothes For Women",Mumbai,"Sprout Venture Partners","Seed Round","18,00,000",2020-01-02,
6,Pando,Logistics,"Open-market, freight management platform",Chennai,"Chiratae Ventures","Series A","90,00,000",2020-01-13,
7,Zomato,Hospitality,"Online Food Delivery Platform",Gurgaon,"Ant Financial","Private Equity Round","15,00,00,000",2020-01-10,
8,Ecozen,Technology,Agritech,Pune,"Sathguru Catalyzer Advisors","Series A","60,00,000",2019-12-12,
9,CarDekho,E-Commerce,Automobile,Gurgaon,"Ping An Global Voyager Fund","Series D","7,00,00,000",2019-12-06,
10,"Dhruva Space",Aerospace,"Satellite Communication",Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",2019-12-03,
11,Rivigo,Technology,"Logistics Services and Solutions",Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.","Series F","2,00,00,000",2019-12-13,
12,Healthians,"B2B-focused foodtech startup","Food Solutions For Corporate",Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux","Series C","1,20,00,000",2019-12-17,
13,Licious,E-Commerce,"Online Meat And Seafood Ordering Startup",Bengaluru,"Vertex Growth Fund","Series E","3,00,00,000",2019-12-16,
14,InCred,Finance,"Non-Banking Financial Company",Mumbai,,"Debt Funding","59,00,000",2019-12-16,
15,Trell,Video,"Experience Discovery Platform",Bengaluru,"Ruizheng Investment","Seed Round","20,00,000",2019-12-14,
16,"Rein Games",Gaming,"Real money based gaming startup",Noida,"Manipal Education and Medical Group (MEMG)","Seed Round","5,00,00,000",2019-12-11,
17,Lenskart.com,E-Commerce,"Online Eyewear Shopping Portal",Faridabad,"SoftBank Vision Fund","Series G","23,10,00,000",2019-12-20,
18,Freshworks,Software,"Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H","15,00,00,000",2019-11-13,
19,Misters,"Health and wellness","Men's Health and Wellness brand",Gurgaon,"Sauce.vc, Rainforest Ventures","Series B","4,86,000",2019-11-14,
20,"Sunstone Eduversity Pvt. Ltd",Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",2019-11-13,
21,"Burger Singh","Food and Beverage","Indian Burger Brand",Gurgaon,"RB Investments",Venture,undisclosed,2019-11-17,
22,Healthians,"Health and Wellness","Healthcare services",Gurgaon,"DG Daiwa Ventures, DG Incubation","Series B","1,20,00,000",2019-11-18,
23,Ninjacart,"B2B Marketing",Agritech,Bengaluru,"Trifecta Capital Advisors","Debt Funding","2,60,00,000",2019-11-15,
24,"Aye Finance",FinTech,"Financial Services To MSMEs",Gurgaon,FinTech,"Debt Funding","1,74,11,265",2019-11-20,
25,SuperGaming,"Video Games","Social gaming platform",Pune,"Dream Incubator","Seed Funding","13,00,000",2019-11-12,
26,Clumio,SaaS,"Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C","13,50,00,000",2019-11-20,
27,eBikeGo,"Last Mile Transportation","Electric bike rental",Amritsar,"Startup Buddy",Seed,"3,00,000",2019-11-11,
28,"Digital Mall Asia",E-Commerce,"Virtual e-commerce platform",Delhi,"Amour Infrastructure","Seed Funding","22,00,00,000",2019-11-19,
29,Medikabazaar,Healthcare,"B2B platform for medical supplies",Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B","1,58,00,000",2019-11-18,
30,"Vogo Automotive","Last Mile Transportation","Scooter sharing app",Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B","28,30,00,000",2019-11-15,
31,"Furtados School of Music",Education,"Music Education",Tulangan,"IAN Fund and DSG Consumer Partners",,"20,00,00,000",2019-11-19,
32,Paytm,FinTech,"Mobile Wallet",Noida,"Vijay Shekhar Sharma","Funding Round","1,00,00,00,000",2019-11-25,
33,Dunzo,"Customer Service","Delivery Service",Bengaluru,Lightbox,"Series D","4,50,00,000",2019-10-04,
34,Udaan,B2B,"Business development",Bengaluru,"Altimeter Capital, DST Global","Series D","58,50,00,000",2019-10-02,
35,"The Man Company","Consumer Goods","Beauty and Grooming",Gurgaon,"Ayushmann Khurana","Corporate Round",unknown,2019-10-21,
36,"FPL Technologies",FinTech,"Financial Services",Pune,"Matrix Partners India, Sequoia India","Maiden Round","45,00,000",2019-09-05,
37,Cashflo,FinTech,"Invoice discounting platform and SME lending marketplace",Mumbai,"SAIF Partners","Series A","33,00,000",2019-09-04,
38,"Digital F5","Advertising, Marketing","Digital marketing firm",Mumbai,"TIW Private Equity","Private Equity Round","60,00,000",2019-09-04,
39,3rdFlix,SaaS,"Education Technology",Hyderabad,"Exfinity Venture Partners","pre-series A","50,00,000",2019-09-04,
40,75F,IoT,"Building automation system",Burnsville,"Breakthrough Energy Ventures","Series A","1,80,00,000",2019-09-04,
41,"Myelin Foundry","Information Technology",Deep-technology,Bengaluru,"Endiya Partners",Seed,"10,00,000",2019-09-04,
42,"Atomberg Technology","Consumer Technology","Consumer Electronics, Home Appliances",Mumbai,"A91 Partners","Series A","1,00,00,000",2019-09-04,
43,GOQii,"Health and Wellness","Wearable Fitness Bands","Menlo Park","Bennett Coleman and Company Ltd (BCCL)","Series C","45,00,00,000",2019-09-04,
44,"Vyapar App",Accounting,"Mobile-based Accounting Software",Bengaluru,"India Quotient, Axilor Ventures","Series A","50,00,000",2019-09-03,
45,CarDekho,E-Commerce,Automotive,Gurgaon,"SC GG India Mobility Holdings LLC","Series C","2,00,00,000",2019-08-01,nan
46,Progcap,Finance,"Supply Chain Management","New Delhi","Sequoia India","Series A","50,00,000",2019-08-01,nan
47,MyPetrolPump,Retail,"Fuel Delivery",Bengaluru,,"Seed Funding Round","16,00,000",2019-08-01,nan
48,"Alteria Capital",Finance,"VC Funds",Mumbai,"Azim Premji, Binny Bansal","Single Venture","14,00,00,000",2019-08-01,nan
49,"Pine Labs","Information Technology","Last-mile retail transaction technology",Noida,"Pine Labs Pte Ltd","Corporate Round","3,80,80,000",2019-08-01,nan
50,Meesho,E-Commerce,"Social Commerce",Bengaluru,Naspers,"Series D","12,50,00,000",2019-08-12,nan
51,Cars24,E-Commerce,"Car Retail",Gurugram,"MS Dhoni","Series D","1,10,00,000",2019-08-13,nan
52,Uniphore,"Customer Service Platform","Conversational AI","Palo Alto","March Capital Partners","Series C","5,10,00,000",2019-08-13,nan
53,Zendrive,Automotive,"Road Safety Analytics","San Francisco","XL Innovate","Series B","3,70,00,000",2019-08-23,nan
54,"Lo! Foods","Consumer Goods","Low carb food for Diabetics",Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)","Seed Round","5,00,000",2019-08-23,nan
55,Tala,FinTech,"Digital Lending Platform","Santa Monica","RPS Ventures","Series D","11,00,00,000",2019-08-23,nan
56,INDwealth,FinTech,"Wealth Management",Gurgaon,"Tiger Global Management","Venture Round","1,50,00,000",2019-08-22,nan
57,HungerBox,"Food and Beverage","B2B Foodtech",Bengaluru,"One97 Communications Ltd.","Series C","65,90,000",2019-08-21,nan
58,AdmitKard,EdTech,"University Admissions",Noida,"Growth DNA","Seed Round","10,00,000",2019-08-23,nan
59,"Mishry Reviews",Services,"Product Review",Gurgaon,"Vir Sanghvi","Series A",Undisclosed,2019-08-19,nan
60,Grofers,E-Commerce,"Grocery Delivery",Gurgaon,"Softbank Vision Fund","Series F","7,00,00,000",2019-08-19,nan
61,"Rapido Bike Taxi",Transportation,"Bike Taxi",Bengaluru,"Westbridge Capital","Series B","3,90,00,00,000",2019-08-27,nan
62,RenewBuy,Finance,"Auto Insurance",Gurgaon,"Lok Capital, IIFL Wealth","Series B","1,90,00,000",2019-07-02,nan
63,Atlan,"Information Technology","Big Data",Singapore,"WaterBridge Ventures","Pre-Series A","25,00,000",2019-07-02,nan
64,WizCounsel,Compliance,Consulting,"New Delhi","Kapil Dev",Angel,"1,45,000",2019-07-01,nan
65,"Ola Cabs",Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury","Series J","10,00,000",2019-07-03,nan
66,Uniphore,"Artificial Intelligence","Speech Recognition",Taramani,"March Capital Partners","Series C","3,80,80,000",2019-07-01,nan
67,"Daalchini Technologies","Food and Beverage","Digital Vending Machine","New Delhi","Artha Venture","Seed Round","5,00,000",2019-07-04,nan
68,""BYJU\\'S"""",EdTech,Education,Bengaluru,"Qatar Investment Authority","Private Equity Round","15,00,00,000",2019-07-10,nan
69,Moglix,E-Commerce,"Industrial Tools and Equipments",Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management","Series D","6,00,00,000",2019-07-11,nan
70,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,"Series B","1,60,00,000",2019-07-10,nan
71,"Indus OS",Tech,"Smartphone Operating System",Andheri,Ventureast,"Series B","57,50,000",2019-07-10,nan
72,HealthAssure,"Health Care","Primary care medical network",Mumbai,"Blume Ventures","Series A","25,00,000",2019-07-10,nan
73,"House of Msasaba","Luxury Label","Clothes and Apparel",Mumbai,"Binny Bansal","Series A","10,00,000",2019-07-09,nan
74,"Board Infinity",EdTech,"Full-stack career platform",Chembur,"Multiple Angel Investors","Angel Round","3,19,605",2019-07-08,nan
75,NoBroker,E-Commerce,"Real Estate",Bengaluru,"General Atlantic","Series C","5,10,00,000",2019-06-05,nan
76,Bira91,"Food and Beverage",Brewery,"New Delhi","Anicut Capital","Debt Funding","1,00,00,000",2019-06-04,nan
77,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,"48,89,975.54",2019-06-03,nan
78,"Avail Finance",Finance,FinTech,Bengaluru,"Matrix Partners","Series A","90,00,000",2019-06-03,nan
79,BharatPe,Finance,FinTech,"New Delhi","Insight Partners","Series B","7,50,00,000",2019-06-04,nan
80,Recykal,"Waste Management Service",Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh","pre-Series A","2,60,00,000",2019-06-04,nan
81,"Agara Labs",Deep-Tech,"Artificial Intelligence",Bengaluru,"Blume Ventures and RTP Global","pre-Series A","25,00,000",2019-06-03,nan
82,Sistema.bio,Agriculture,"Hybrid Reactor Biodigestor",Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,"27,39,034.68",2019-06-06,nan
83,"Chakr Innovation",Energy,"Renewable Energy","New Delhi","IAN Fund","Series A","2,60,00,000",2019-06-06,nan
84,Pratilipi,"Digital Media",E-Books,Bengaluru,"Qiming Venture Partners","Series B","1,51,09,500.00",2019-06-06,nan
85,"Bolo App","Digital Media","Video Platform",Bengaluru,"Nexus Venture Partners","Seed Funding","4,30,200",2019-06-10,nan
86,OkCredit,FinTech,"Financial Services",Haryana,"Tiger Global Management","Series A","1,55,00,000",2019-06-10,nan
87,Biz2Credit,FinTech,"Online Lending Platform","New York","WestBridge Capital","Series B","5,20,00,000",2019-06-06,nan
88,"Vogo Automotive Pvt. Ltd.",Transportation,"Dockless Scooter Rental Company",Karnataka,"Alteria Capital","Debt Funding","35,84,000",2019-06-08,nan
89,Leegality,Services,"Digital Documentation",Mumbai/Bengaluru,"Mumbai Angels","Series A","34,00,000",2019-06-04,nan
90,"Ola Electric",Transport,Cabs,Bengaluru,"Tata Sons","Series A",undisclosed,2019-05-06,nan
91,"Saahas Zero Waste","Waste Management Service",Optimization,Bengaluru,"C4D Partners","Venture - Series Unknown","8,68,600",2019-05-06,nan
92,StyleDotMe,E-commerce,"Fashion and Shopping",Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana","Bridge Round",undisclosed,2019-05-05,nan
93,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,","Series D","15,00,00,000",2019-05-01,nan
94,Zenoti,Saas,"Beauty and Wellness Industry",Hyderabad,"Tiger Global Management","Series C","5,00,00,000",2019-05-02,nan
95,"Ather Energy",Automobile,"Electric Vehicle",Bengaluru,"Sachin Bansal","Series C","5,10,00,000",2019-05-28,nan
96,FreshVnF,Agtech,"Fresh Agriculture Produces",Mumbai,"Equanimity Ventures","Seed Round","14,00,00,000",2019-05-28,nan
97,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures","Series B","1,15,00,000",2019-05-30,nan
98,Bira91,"Food and Beverage",Brewery,"New Delhi","Sixth Sense Ventures","Series B","56,00,000",2019-05-31,nan
99,Kuvera,Finance,"Wealth Management",Bengaluru,"Eight Roads","Series A","4,50,00,000",2019-04-16,nan
100,Medlife,E-commerce,"Online Medicine",Bengaluru,"Prasid Uno Family Trust","Private Equity","1,70,00,000",2019-04-12,nan
101,Kabadiwala,E-commerce,"Waste Management",Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,","Private Equity","4,30,665",2019-04-10,nan
102,Tripoto,"Social Media",Travel,"New Delhi","Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV","Series B","35,91,375",2019-04-13,nan
103,Azah,"Health and Wellness","Organic wellness",Gurugram,"Unnamed angel investors","Seed Funding","2,00,000",2019-04-12,nan
104,Setu,Fintech,Banking,Bengaluru,"Lightspeed India Partners","Seed Funding","35,00,000",2019-04-11,nan
105,Toppr,Edtech,E-learning,Mumbai,Milestone,"Debt and Preference capital","63,20,820",2019-04-10,nan
106,Craftsvilla,E-commerce,"Fashion and Apparel",Mumbai,"Supera Pte Ltd","Inhouse Funding","24,43,495",2019-04-10,nan
107,Unacademy,Edtech,E-learning,Bengaluru,"Kalyan Krishnamurthy","Seed/ Angel Funding","3,07,000",2019-04-10,nan
108,CleverTap,SaaS,"Mobile analytics and marketing",Mumbai,"Sequoia India, Tiger Global Management, Accel Partners","Series B","2,60,00,000",2019-04-11,nan
109,"My Healthcare",E-commerce,"Software Solutions","Bengaluru and Gurugram","Sixth Sense Ventures","Series A","30,00,000",2019-04-19,nan
110,KrazyBee,E-commerce,"Lending Platform",Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+",2019-04-19,nan
111,Shuttl,Transportation,"Bus Aggregation",Gurugram,"New Atlantic Ventures","Venture Round","50,00,000",2019-04-17,nan
112,Increff,Technology,"Supply-chain technology solutions",Bengaluru,"021 Capita, Binny Bansal","Series A","30,00,000",2019-04-17,nan
113,FleetX,AI,Logistics,Gurgaon,"India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund","Pre Series A",Undisclosed,2019-02-01,nan
114,Zilingo,Ecommerce,"Fashion & Apparel",India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina","Series D","22,60,00,000",2019-02-08,nan
115,"NanoClean Global",Nanotechnology,Anti-Pollution,"New Delhi","LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments","Series A","6,00,000",2019-02-13,nan
116,OyoRooms,Hospitality,"Budget Rooms",Gurgaon,"DiDi Chuxing",Equity,"10,00,00,000",2018-02-14,nan
117,CarDekho,Automobile,"Online Marketplace",Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank","Series C","11,00,00,000",2019-01-03,nan
118,"Vyome Therapeutics Inc.","Health and Wellness","Specialty pharmaceutical",India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital","Series D","2,20,00,000",2019-01-04,nan
119,"Samunnati Financial Intermediation & Services Pvt. Ltd",Finance,"Non-banking financial company",Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"50,00,000",2019-01-04,nan
120,Manch,"Social Media","Hyperlocal Content",Delhi,"Stellaris Venture Partners","Seed Funding","7,00,000",2018-12-04,nan
121,"UrbanClap Technologies Pvt. Ltd","Services Platform","Home services marketplace","New Delhi","Steadview Capital and Vy Capital.","Series D","5,00,00,000",2018-12-01,nan
122,Guiddoo,"Travel Tech","Platform for travel agents",Mumbai,"Individual Investors","Pre-Series A","8,00,000",2018-12-02,nan
123,"Career Anna","Online Education","Video-based certification, trainings",Gurugram,"Individual Investors","Pre-Series A","5,72,000",2018-12-02,nan
124,"Nagpur Wholesale","Online Marketplace",eCommerce,Nagpur,"Omphalos Ventures India LLP","Seed Funding","1,43,000",2018-12-04,nan
125,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.","Seed Funding","20,00,000",2018-12-06,nan
126,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors","Series A","35,00,000",2018-12-06,nan
127,GoDesi,"Food and Beverage","Regional Flavours",Bengaluru,"Lead Angels Network","Seed/ Angel Funding","1,38,995",2018-11-01,nan
128,"Veritas Finance Ltd.",NBFC,"MSME Finance",Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai","Series D","2,77,99,000",2018-11-03,nan
129,Meesho,Ecommerce,"Social Commerce",Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures","Series C","5,00,00,000",2018-11-06,nan
130,"Mobile Premier League",Gaming,"Mobile e-Sports",Bengaluru,Undisclosed,"Series A","5,00,000",2018-11-08,nan
131,"A&R Bon Vivants",Food,"Meat Retail Chain",Jaipur,"RB Investments, Singapore",Equity,"10,00,000",2018-11-08,nan
132,Blackbuck,"Food Tech","POS For Online Ordering","New York, Bengaluru","Tiger Global","Series A","10,00,000",2018-11-12,nan
133,MilkBAsket,Food,"Micro-delivery grocery service","New Delhi","Mayfield Fund","Series B","13,00,000",2018-11-12,nan
134,DriveU,Transport,"On-Demand Drivers",Bengaluru,"Stevens Creek Ventures",Mezzanine,"10,00,000",2018-11-13,nan
135,CleanseCar,Services,"Car Wash",Bengaluru,"Venture Catalysts","Seed/ Angel Funding","5,00,000",2018-11-14,nan
136,"Automation Anywhere",Automation,Robotics,California,"SoftBank Vision Fund","Series B","30,00,00,000",2018-11-19,nan
137,HealthifyMe,"Health and Wellness","Wellness Coach",Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.","Series B (Extension)","60,00,000",2018-11-20,nan
138,"Genius Corner",Education,"Personalized Learning",Noida,"Individual investors","Seed Funding","2,78,000",2018-11-21,nan
139,"Aavishkaar-Intellecap Group",Investment,"SME Funding",Mumbai,"Teachers Insurance and Annuity Association (TIAA)","Equity Based Funding","3,10,00,000",2018-11-22,nan
140,Skillbox,"Social Network",Art,Gurugram,"Individual investors","Seed Funding",Undisclosed,2018-11-22,nan
141,Signzy,"Financial Tech","Digital Onboarding Solution",Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India","Series A","34,00,000",2018-11-23,nan
142,Engineer.ai,Software,"AI Platform",India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.","Series A","2,95,00,000",2018-11-24,nan
143,"InCred Finance",Finance,"SME Lending",India,"Paragon Partners, Individual Investors","Private Equity","4,20,00,000",2018-11-25,nan
144,Roposo,"Social Media","Video Sharing",Delhi,"Bertelsmann India Investments","Series B","17,00,000",2018-11-25,nan
145,Northmist,Fashion,"Mens Wear",Delhi,"Prashant Jaiswal","Seed/ Angel Funding",N/A,2018-10-01,nan
146,"Origo Commodities India Pvt. Ltd",Logistics,"Supply Chain",Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund","Seed/ Angel Funding","1,10,00,000",2018-10-02,nan
147,"Grover Zampa",Food,Wine,Mumbai,"Ravi Viswanathan","Private Equity","82,00,000",2018-10-04,nan
148,Droom,Automobile,"New and Used Cars Platform",Gurgaon,ZigExN,"Series E","30,00,000",2018-10-05,nan
149,Innov8,"Real Estate",Co-Working,"New Delhi","Credence Family Office","Pre-Series A","40,00,000",2018-10-11,nan
150,Blackbuck,"Logistics Tech","Largest Trucking Platform",Bengaluru,"Sequoia Capital India","Private Funding","1,46,80,000",2018-10-12,nan
151,LetsTransport,"Logistics Tech","Book Trucks Online",Bengaluru,"Fosun International","Series C","1,20,00,000",2018-10-12,nan
152,Netmeds,"Consumer Internet","Online Pharmacy Chain",Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment","Private Equity","3,50,00,000",2018-09-01,nan
153,Udaan,"B2B Platform","Logistics and Shipping",Bengaluru,"DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.","Private Equity","22,50,00,000",2018-09-03,nan
154,"Daily hunt","Consumer Internet","News and ebooks Mobile App\\xc2\\xa0",Bengaluru,"Falcon Edge","Private Equity","63,90,000",2018-09-03,nan
155,3HCare,Healthcare,"Healthcare Service Provider",Delhi,N/A,"Seed / Angel Funding","10,00,000",2018-09-04,nan
156,HappyGoEasy,"Consumer Internet","Online Travel Agecy",Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others","Private Equity",N/A,2018-09-04,nan
157,Nykaa,"Consumer Internet","Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products",Mumbai,Lighthouse,"Private Equity","15,72,00,000",2018-09-05,nan
158,"Mad Street Den",Technology,"Computer Vision And Artificial Intelligence (Ai) Platform",Chennai,KDDI\\xc2\\xa0,"Private Equity",N/A,2018-09-05,nan
159,Dream11,"Consumer Internet","Online Gaming Platform",Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management","Private Equity","10,00,00,000",2018-09-06,nan
160,MamaEarth,Healthcare,"Online Marketplace For Mother and Babycare Products",Gurugram,"Stellaris Ventures & Others","Private Equity","40,00,000",2018-09-10,nan
161,AutoGrid,Technology,"AI-Based Energy Optimisation and Control Provider",Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska","Private Equity","3,20,00,000",2018-09-11,nan
162,Pharmeasy,"Consumer Internet","Online Marketplace For Pharmaceutical Products",Mumbai,"InnoVen Capital","Debt Funding","55,00,000",2018-09-11,nan
163,Upwards,Fin-Tech,"Online Micro Lending Marketplace",Mumbai,"Shunwei Capital,Quotient, Mayfield & Others","Private Equity","50,00,000",2018-09-11,nan
164,Kissht,Fin-Tech,"Online lending Platform",Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n","Private Equity","3,00,00,000",2018-09-12,nan
165,dishq,Food-Tech,"Personalisation Technology Firm Focusing On The Food And Beverage Industry",Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners","Seed/ Angel Funding","4,00,000",2018-08-01,nan
166,HealthFin,Finance,"Patient Financing Platform",Pune,"Axilor, Sprout Venture Partners and others","Seed/ Angel Funding",N/A,2018-08-01,nan
167,"Samosa Labs","Consumer Internet","Social Media and Chat Entertainment Platform",Hyderabad,"Xiaomi and Sequoia Capital India","Private Equity","70,00,000",2018-08-02,nan
168,ZiffyHomes,"Consumer Internet","Online Home Rental Marketplace",Gurugram,"Y Combinator","Private Equity","1,20,000",2018-08-03,nan
169,"My OmNamo","Consumer Internet","Holy Platform Offering Customised Puja Packages To Individuals and Corporates",Mumbai,N/A,"Seed/ Angel Funding","10,00,000",2018-08-07,nan
170,ShopX,"Consumer Internet","Assisted E-commerce Platform",Bengaluru,"Fung Strategic Holdings","Private Equity","3,50,00,000",2018-08-07,nan
171,MakeMyTrip,"Consumer Internet","Online Travel Aggregator",Gurugram,"MakeMyTrip Limited","Private Equity","1,00,00,000",2018-08-07,nan
172,"Hansel io","Consumer Internet","Real-time Mobile App Management",Bengaluru,"Vertex Ventures","Seed/ Angel Funding","40,00,000",2018-08-08,nan
173,"Metro Bikes","Consumer Internet","Online Bike Rental Marketplace",Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan","Private Equity","1,22,00,000",2018-08-08,nan
174,"Phone Pe","Consumer Internet","UPI Payments App",Bengaluru,Flipkart,"Private Equity","6,60,00,000",2018-08-08,nan
175,quizizz,Ed-Tech,"e-learning Platform",Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others","Seed/ Angel Funding","30,00,000",2018-08-09,nan
176,"Happy EMI",Fin-Tech,"Consumer Financing Platform",Bengaluru,"AJ Ventures and Jain International Trade Organisation (JITO)","Seed/ Angel Funding","10,00,000",2018-08-09,nan
177,Inthree,"Consumer Internet","Rural E-commerce Platform",Chennai,"Ventureast, Orios Venture Partners and the IAN Fund","Seed/ Angel Funding","40,00,000",2018-08-13,nan
178,"Observe AI",Technology,"AI Based Solutions Platform",Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator","Private Equity","80,00,000",2018-08-13,nan
179,Enakshi,"Consumer Internet","AI Based Solutions Platform",Ahemadabad,N/A,"Seed/ Angel Funding","1,14,811",2018-08-16,nan
180,EazyDiner,"Consumer Internet","Online Restaurant Table Reservation Platform",Gurugram,"Denlow Investment Trust and Beenext","Private Equity","58,50,000",2018-08-17,nan
181,Finzy,Finance,"Online Loan Matchmaking Platform",Bengaluru,N/A,"Seed / Angel Funding","10,00,000",2018-08-20,nan
182,RawPressery,"Consumer Internet","Online Organic Juice Delivery Service",Mumbai,"Alteria Capital","Debt Funding","48,00,000",2018-08-20,nan
183,"Pi Ventures",Technology,"Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform",Bengaluru,"CDC Group plc\\xc2\\xa0","Private Equity","60,00,000",2018-08-22,nan
184,Revv,"Consumer Internet","Online Indian Car Rental Platform",Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment","Private Equity","1,42,70,000",2018-08-22,nan
185,ZestMoney,"Consumer Internet","Online Lending Platform",Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network","Private Equity","1,34,00,000",2018-08-26,nan
186,"Shubh Loans",Fin-Tech,"\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0",Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures","Private Equity","42,00,000",2018-08-26,nan
187,MyUpchar,Healthcare,"Local Language Health Content App",Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital","Private Equity","50,00,000",2018-08-27,nan
188,Narvar,IT,"Post-Purchase Customer Engagement Platform\\xc2\\xa0",Bengaluru,"Accel (formerly known as Accel Partners)","Private Equity","30,00,000",2018-08-28,nan
189,"True North",Finance,"Private Equity Firm",Mumbai,N/A,"Private Equity","60,00,00,000",2018-08-30,nan
190,"Leena AI",Technology,"HR Virtual Agent For Employees",Gurugram,"Y Combinator","Seed/ Angel Funding",N/A,2018-07-01,nan
