Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1537,CityFurnish,"Consumer Internet","Online Furniture Renting Platform",Gurgaon,"Brand Capital","Seed Funding",N/A,2016-07-13,nan
1538,"HEAL Institute",Healthcare,"Sports Focused Healthcare Startup",Mumbai,"Jaspal Bindra, Parth Jindal","Seed Funding",N/A,2016-07-13,nan
1539,Augrav,eCommerce,"Personalized precious Jewellery etailer",Coimbatore,"Keiretsu Forum","Seed Funding","4,50,000",2016-07-14,nan
1540,ShoppinPal,Technology,"M-Commerce Solutions for Retail Stores",Pune,"Plug and Play Tech Center, Steelhead Ventures & Others","Private Equity","10,70,000",2016-07-14,nan
1541,"TransTutors / AskIITians","Consumer Internet","Online Education & Tutoring portals","New Delhi","500 Startups","Private Equity",N/A,2016-07-14,nan
1542,WorkApps,Technology,"Enterprise Work Management Software",Pune,"SRI Capital","Seed Funding","10,00,000",2016-07-15,nan
1543,BankerBay,"Consumer Internet","Online Investment Banking platform",Bangalore,"undisclosed investors","Private Equity","20,00,000",2016-07-15,nan
1544,BaggOut,eCommerce,"Women\\xe2\\x80\\x99s Fashion etailer","New Delhi","Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan","Seed Funding",N/A,2016-07-15,nan
1545,TripShelf,eCommerce,"Travel Package Marketplace","New Delhi","GEMS group","Seed Funding","2,50,000",2016-07-15,nan
1546,SatvaCart,eCommerce,"Online Grocers","New Delhi","Abhijit Avasthi, Karan Chellani, SP Vijay","Seed Funding",N/A,2016-07-15,nan
1547,Ridlr,"Consumer Internet","Public Transport Mobile App",Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures","Private Equity","60,00,000",2016-07-15,nan
1548,Yellowdig,"Consumer Internet","Online Learning Platform",Pune,"SRI Capital","Seed Funding","6,50,000",2016-07-18,nan
1549,Zuppler,"Consumer Internet","Online Food Ordering platform","New Delhi","SRI Capital","Seed Funding","6,50,000",2016-07-18,nan
1550,BlueStone,eCommerce,"Jewellery Etailer",Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments","Private Equity","3,00,00,000",2016-07-18,nan
1551,underDOGS,Technology,"Game Development Startup",Mumbai,"Intelli Reboot Digital Pvt. Ltd","Private Equity",N/A,2016-07-18,nan
1552,ImageProVision,Technology,"Image Analysis Solutions",Pune,"Satish Jamdar","Seed Funding",N/A,2016-07-18,nan
1553,Sagacito,Technology,"Cloud-Based Enterprise Solutions","New Delhi","Star India Pvt. Ltd","Private Equity","1,00,00,000",2016-07-19,nan
1554,"Deal4Loans / Wishfin","Consumer Internet","\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n",Noida,"Franklin Templeton International Services Pvt. Ltd","Private Equity","1,50,00,000",2016-07-19,nan
1555,"NiYO Solutions",Technology,"Payroll & Benefits Software solutions",Bangalore,"Prime Venture Partners","Private Equity","10,00,000",2016-07-19,nan
1556,AppLop,"Consumer Internet","Mobile Apps SaaS Platform",Gurgaon,"Green House Ventures Accelerator","Seed Funding","2,50,000",2016-07-19,nan
1557,Tax2Win,"Consumer Internet","Online Tax Filing Portal",Jaipur,"Undisclosed Investors","Private Equity","10,00,000",2016-07-20,nan
1558,Truckola,Logistics,"Tech-focused cargo transport startup",Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta","Seed Funding","5,95,000",2016-07-20,nan
1559,"iServe Financial","Consumer Internet","Loan Comparison & Deals platform",Pune,"Nilesh Shah","Seed Funding",N/A,2016-07-20,nan
1560,MyTaxiIndia,"Consumer Internet","Online Car rental booking platform","New Delhi","Nihon Kotsu Co","Private Equity","10,00,000",2016-07-21,nan
1561,AbeRuk,eCommerce,"Online Marketplace for books",Bangalore,"Swastika Company Pvt Ltd","Seed Funding",N/A,2016-07-21,nan
1562,Wiwigo,"Consumer Internet","Inter-City Taxi Booking platform",Bangalore,"Indian Angel Network","Seed Funding","5,95,000",2016-07-21,nan
1563,"Drums Food","Food & Beverage","Yogurt and Ice Cream maker",Mumbai,"Verlinvest, DSG Consumer Partners",nan,nan,2016-07-21,nan
1564,Chikoop,"Consumer Internet","Free Ad based Voice Calling",Indore,"Undisclosed Investors","Seed Funding",N/A,2016-06-01,nan
1565,BRIDGEi2I,Technology,"Data Analytics Platform",Bangalore,"Edelweiss Private Equity","Private Equity",N/A,2016-06-01,nan
1566,Droom,eCommerce,"Online marketplace for used automobiles","New Delhi","Beenext, Digital Garage, Lightbox, Beenos","Private Equity",N/A,2016-06-02,nan
1567,Visit,"Consumer Internet","On-Demand Healthcare Service provider","New Delhi",MapmyIndia,"Seed Funding",N/A,2016-06-02,nan
1568,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,"Parampara Capital","Private Equity","10,00,000",2016-06-02,nan
